,RAJ2000,DEJ2000,Dist,Bmag,BmagHyp,ImagHyp,modzHyp,mod0Hyp,logd25Hyp,logr25Hyp,logdcHyp,PAHyp,BmagHypC,ImagHypC,U-BHypC,B-VHypC,Jmag2,Hmag2,Kmag2,a_b,PAK,BmagGWGC,maj,min,PAGWGC,DistGWGC,Kmag2MPZ,Bmag2MPZ,zsp2MPZ,zph2MPZ,Flag
668337,104.00322694444444,-35.56389194444444,84.847,15.67,16.71,,34.74,,0.91,0.59,,66.5,15.6,,,,14.222,13.382,13.108,0.3,60.0,15.67,0.813,0.209,66.5,84.847,13.019,15.72,,0.051875,0
668348,74.97876,-18.544543888888885,76.139,14.15,15.14,13.1,34.49,,1.08,0.43,1.09,106.6,14.16,12.97,,,12.264,11.565,11.26,0.3,-75.0,14.15,0.793,0.301,105.8,76.139,11.235,14.412,0.018730000000000004,0.028429,0
668351,212.4888761111111,17.545424999999998,69.875,12.88,13.07,,34.3,34.44,1.22,0.11,1.23,1.0,12.88,,0.55,0.94,10.012,9.295,9.028,0.8,5.0,12.88,1.735,1.475,1.0,69.875,9.018,12.997,0.016190000000000003,0.013669,0
668363,171.46993999999998,18.599036944444443,86.667,15.2,15.28,13.54,34.8,,0.91,0.04,0.92,7.4,15.09,13.5,,,12.204,11.511,11.231,0.8,-40.0,15.2,0.813,0.741,7.4,86.667,11.224,14.894,0.020530000000000003,0.026042,0
668368,302.82403611111107,-28.996153055555553,96.458,14.21,14.84,12.82,35.02,,1.0,0.08,1.04,24.0,14.2,12.62,,,12.097,11.429,11.104,0.5,20.0,14.21,0.707,0.551,24.0,96.458,11.065,14.378,0.023200000000000002,0.020608,0
668372,136.47189305555554,-64.29833194444444,77.764,14.95,15.84,13.39,34.59,,0.9,0.41,0.97,159.5,14.23,13.0,,,12.232,11.452,11.202,0.6,-25.0,14.95,0.794,0.309,159.5,77.764,11.127,14.856,0.019920000000000004,0.022224,0
668378,157.94821194444444,-39.75908305555555,64.278,14.7,15.12,13.14,34.17,,1.15,0.65,1.17,138.9,14.16,12.95,,,12.149,11.343,11.028,0.3,-45.0,14.7,0.975,0.205,138.9,64.278,10.992,14.492,0.016110000000000003,0.022059,0
668380,157.74372888888888,25.999114999999996,85.694,16.03,16.12,14.35,34.77,,0.79,0.34,,111.3,15.97,14.31,,,13.004,12.273,11.949,0.5,-75.0,16.03,0.617,0.282,111.3,85.694,11.941,15.379,0.020070000000000005,0.029013,0
668402,307.56365999999997,-34.81206888888889,80.431,13.91,14.9,12.85,34.57,,1.08,0.52,1.08,34.2,13.9,12.76,,,11.58,10.781,10.45,0.4,40.0,13.91,0.775,0.232,34.2,80.431,10.434,14.561,0.019530000000000002,0.019706,0
668406,40.105045,-5.4403380555555545,97.931,13.95,14.18,11.83,35.03,,1.14,0.1,1.15,47.3,13.95,11.77,,,11.082,10.399,10.119,0.8,45.0,13.95,1.2,0.912,47.3,97.931,10.108,13.767,0.023600000000000003,0.019198,0
